band,split,split_ID,artist_first,artist_last,album,release_year,sides,size,speed,length,color,owner,autographed,autograph by,copies,Notes
0,,,Bob & The Wailers,Marley,Babylon by Bus,,4,12,33,,Black,Neil,,,,
1,1,102,The Middle Ones,,,,2,12,33,,Black,Neil,,,,Sort as Middle Ones
1,1,102,Best Friends Forever,,,,2,12,33,,Black,Neil,,,,Sort as Middle Ones
1,,,Millencolin,,True Brew,,2,12,33,,Black,Neil,1,Nikola Sarcevic,,
0,,,Joni,Mitchell,Blue,,2,12,33,,Black,Neil,,,,
1,,,The Kinks,,Give the People what They Want,,2,12,33,,Black,Neil,,,,
1,,,Minus the Bear,,They Make Beer Commercials Like This,,2,12,45,,Orange,Neil,,,,
1,,,Modest Mouse,,The Lonesome Crowded West,,4,12,33,,Purple,Neil,,,,
1,,,Modest Mouse,,The Fruit that Ate Itself,,2,12,45,,Black,Neil,,,,
1,,,Moon Hooch,,Red Sky,,2,12,33,,Black,Neil,,,,
1,,,Onsind,,,,2,7,45,,Purple,Neil,,,,
1,,,Panda Bear,,Buoys,,2,12,33,,Black,Neil,,,,
1,,,Pat the Bunny,,The Volatile Utopian Real Estate Market,,4,12,33,,Black,Neil,,,,"Comes with chords, lyrics, and a manifesto of some sort"
1,,,Neutral Mile Hotel,,In an Aeroplane over the Sea,,2,12,33,,Black,Neil,,,,
1,,,La La Land,,Original Motion Picture Soundtrack: La La Land,,2,12,33,,Black,Karina,,,,Music by: Justin Hurwitz; Lyrics by: Benj Pasek & Justin Paul
1,,,Pavement,,Quarantine the Past,,4,12,33,,Black,Neil,,,,Compilation Album
1,,,Pigeon Pit,,Feather River Canyon Blues,,2,12,33,,Black,Neil,1,Lomes Oleander,,
1,,,Pigeon Pit,,Shut In,,2,12,33,,Black,Neil,,,,
1,,,Pinback,,Some Offcell Voices,,2,12,33,,Black,Neil,,,,
1,,,Pinback,,Summer in Abaddon,,2,12,33,,Green,Neil,,,,
1,,,Pink Floyd,,Animals,,2,12,33,,Black,Neil,,,2,2 copies in the same case
1,,,Pink Floyd,,Dark Side of the Moon,,2,12,33,,Black,Neil,,,,
1,,,Pink Floyd,,Wish you were Here,,2,12,33,,Black,Neil,,,,
1,,,Pink Floyd,,The Wall,,4,12,33,,Black,Neil,,,,
1,,,Pixies,,Surfer Rosa,,2,12,33,,Black,Neil,,,,
0,,,Steve,Poltz,Shine On,,2,12,33,,Black,Neil,,,,
1,,,Queen,,News of the World,,2,12,33,,Black,Neil,,,,Chewed corner. Bad Laika!
1,,,Ramshackle Glory,,Live the Dream,,2,12,33,,Black,Neil,,,2,2 copies
0,,,Lou,Reed,Rock N Roll Animal,,2,12,33,,Black,Neil,,,,
0,,,Damien,Rice,O,,4,12,33,,Black,Karina,,,,
0,,,Frank,Sinatra,Ultimate Sinatra,,4,12,33,,Black,Karina,,,,
1,,,Sonic Youth,,Rather Ripped,,2,12,33,,Black,Neil,,,,
0,,,Harry,Styles,,,2,12,33,,Black,Karina,,,,
1,,,Tame Impala,,Currents,,4,12,33,,Black,Neil,,,,
1,,,This Town Needs Guns,,Animals,,2,12,33,,Green,Neil,,,,
1,,,Tommy Tutone,,2,,2,12,33,,Black,Neil,,,,
1,,,Turnstile,,Time & Space,,2,12,33,,Black,Neil,,,,
1,,,Tycho,,Dive,,4,12,33,,Black,Neil,,,,
1,,,Various Artists,,The World's Greatest Bluegrass Bands,,2,12,33,,Black,Neil,,,,Missing sides 3 & 4
1,,,The Velvet Underground,,Loaded,,2,12,33,,Black,Neil,,,,
1,,,West Side Story,,Music from the Musical: West Side Story,,2,12,33,,Black,Neil,,,,
1,,,The White Stripes,,White Blood Cells,,2,12,33,,Black,Neil,,,,
1,,,The Wonder Years,,No Closer to Heaven,,4,12,33,,Blue;Maroon,Neil,,,,
0,,,Neil,Young,Harvest,,2,12,33,,Black,Neil,,,,
0,,,Warren,Zevon,Excitable Boy,,2,12,33,,Black,Neil,,,,
1,,,Weezer,,Blue Album,,2,12,33,,Black,Neil,,,,
1,,,Weezer,,Pinkerton,,2,12,33,,Black,Neil,,,,
1,,,Wilco,,Yankee Hotel Foxtrol,,4,12,33,,Black,Neil,,,,
0,,,Kanye,West,My Beautiful Dark Twisted Fantasy,,6,12,33,,Black,Ben,,,,
0,,,Kendrick,Lamar,good kid m.A.A.d city,,2,12,33,,Black,Ben,,,,
1,,,"Tyler, the Creator",,Flower Boy,,4,12,33,,Black,Ben,,,,
1,,,Guardians of the Glaxy,,Awesome Mix Vol. 1,,2,12,33,,Picture Disk,Ben,,,,
1,,,Mamma Mia,,Here We Go Again: The Movie Soundtrack Featuring the Sings of ABBA.,,4,12,33,,Black,Neil,,,,
1,,,Spider-Man,,No Way Home: Music from the Orignal Motion Picture: Spider-Man No Way Home,,1,12,33,,Picture Disk,Ben,,,,
